;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Мясо свежее и мороженое 
(без мяса птицы)";;1525;…;…;…;993;1145;1051;1159;1232;1 402;1 460;2 335;2 441;3 073;3 263;2 928;3 696;3 897;3 931;4 223;3 323;2 824;3 213;3 554;3 428;3 539;4 005;…;…;…;;;;;;;;;
Мясо птицы свежее и мороженое;;844;…;…;…;668;542;550;597;596;614;651;729;824;1 105;1 148;1 367;1 521;1 597;1 609;1 764;1 430;1 411;1 581;1 635;1 688;1 398;1 700;…;…;…;;;;;;;;;
Рыба свежая и мороженая;;635;…;…;…;367;382;442;595;625;834;1 039;1 450;1 623;1 884;1 820;2 136;2 664;2 650;2 998;2 997;2 562;2 738;2 656;3 119;2 798;2 839;3 090;…;…;…;;;;;;;;;
Ракообразные и моллюски;;3738;…;…;…;633;567;936;1273;1269;1 317;1 709;2 464;2 513;3 006;3 073;3 303;4 186;4 221;4 590;5 254;4 322;4 904;5 393;5 880;5 661;5 007;5 016;…;…;…;;;;;;;;;
Молоко и сливки, несгущенные;;…;…;…;…;311;388;213;289;276;287;292;337;492;793;528;759;848;826;1 040;1 006;691;638;674;705;813;750;857;…;…;…;;;;;;;;;
Молоко и сливки, сгущенные;;1459;…;…;…;670;834;1169;819;1167;1 464;1 693;1 578;2 591;2 480;1 797;2 739;2 783;2 646;3 583;3 387;2 056;2 163;2 171;1 923;2 390;2 242;2 589;…;…;…;;;;;;;;;
из них молоки и сливки сухие;;1693;…;…;…;…;896;…;949;1435;1 750;1 994;1 879;3 685;2 928;2 202;3 352;3 755;3 279;4 487;4 137;2 369;2 418;2 475;2 110;2 613;2 674;3 009;…;…;…;;;;;;;;;
Сливочное масло, прочие жиры и молочные пасты;;1873;…;…;…;1653;1389;1172;1235;1440;1 633;1 845;1 827;2 523;3 110;2 706;3 751;4 434;3 920;4 835;4 936;3 245;3 815;5 362;4 769;5 352;4 499;4 765;…;…;…;;;;;;;;;
из них сливочное масло;;…;…;…;…;1633;1398;1179;1249;1457;1 672;1 851;1 818;2 503;3 029;2 655;3 611;4 303;3 828;4 818;4 882;3 185;3 785;5 366;4 686;5 330;4 459;4 728;…;…;…;;;;;;;;;
Картофель свежий или охлажденные;;295;…;…;…;150;155;118;162;166;162;869;258;405;405;385;410;491;493;521;555;464;376;392;381;441;397;420;…;…;…;;;;;;;;;
Горох сушеный;;…;…;…;…;…;…;243;279;335;343;353;385;514;561;680;938;900;1 061;1 070;1 044;848;837;846;985;627;786;1 179;…;…;…;;;;;;;;;
Бананы, включая плантайны, свежие или сушеные;;519;…;…;…;401;349;283;308;340;419;522;537;597;666;643;659;726;734;744;751;742;737;739;742;740;737;739;…;…;…;;;;;;;;;
"Цитрусовые плоды, свежие 
или сушеные";;524;…;…;…;293;285;292;331;351;403;508;588;669;738;795;859;946;957;984;899;775;768;762;739;755;750;749;…;…;…;;;;;;;;;
Яблоки свежие;;604;…;…;…;313;399;296;313;325;337;406;427;487;490;645;554;658;623;584;591;434;547;576;616;561;744;762;…;…;…;;;;;;;;;
Кофе;;3296;…;…;…;1594;1551;1485;1342;1294;1 552;1 789;2 169;2 646;3 231;2 762;3 254;4 602;4 100;3 598;3 699;3 263;3 010;3 369;3 032;2 923;2 822;3 233;…;…;…;;;;;;;;;
Злаки;;149;…;…;…;92,4;118;123;122;127;158;170;162;280;489;529;522;523;438;417;563;440;335;487;528;546;550;744;…;…;…;;;;;;;;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;…;…;;;;;;;;;;
пшеница и меслин;;130;…;…;…;70,5;106;112;91,3;108;154;117;112;158;346;230;160;338;230;257;244;183;154;147;176;254;341;399;…;…;…;;;;;;;;;
   ячмень;;59,0;…;…;…;61,7;77,5;120;140;144;153;170;147;255;388;133;309;370;365;323;239;128;128;194;168;195;154;305;…;…;…;;;;;;;;;
кукуруза;;392;…;…;…;144;178;130;105;144;167;183;229;690;505;1 590;1 696;950;2 441;2 918;4 199;3 348;3 468;3 539;3 586;3 274;2 604;3 172;…;…;…;;;;;;;;;
Крупа;;362;…;…;…;312;207;273;182;212;263;253;269;353;467;311;359;504;424;425;437;458;273;469;399;501;471;465;…;…;…;;;;;;;;;
Масло пальмовое и его фракции;;801;…;…;…;…;343;337;405;464;482;500;535;791;1 148;917;1 016;1 278;1 147;929;909;722;731;788;707;630;774;1 157;…;…;…;;;;;;;;;
Масло подсолнечное, сафлоровое или хлопковое и их фракции;;898;…;…;…;567;591;495;666;722;780;878;916;1 009;1 584;819;1 042;1 343;1 297;1 304;1 256;1 135;853;667;650;787;1 156;1 137;…;…;…;;;;;;;;;
"Масло кокосовое (копровое), пальмоядровое или масло бабассу 
и их фракции";;…;…;…;…;750;551;417;450;4850;522;590;570;635;1 120;1 023;1 191;1 711;1 388;1 055;1 359;1 231;1 454;1 649;1 340;951;991;1 584;…;…;…;;;;;;;;;
Готовые или консервированные продукты из мяса;;1547;…;…;…;1398;1342;1510;1630;1607;1 664;1 724;2 614;3 141;4 018;4 204;4 248;4 694;4 674;4 763;2 723;3 738;3 192;4 235;4 251;4 049;3 739;3 607;…;…;…;;;;;;;;;
Готовая или консервированная рыба;;988;…;…;…;362;295;557;812;816;1 220;1 378;1 805;1 975;2 377;2 231;2 137;2 444;2 177;2 264;2 392;2 359;2 990;3 534;3 687;3 478;3 565;3 976;…;…;…;;;;;;;;;
Сахар-сырец;;385;…;…;…;196;152;223;192;208;209;257;405;325;389;403;555;734;574;484;420;377;426;644;753;657;593;632;…;…;…;;;;;;;;;
Сахар белый;;456;…;…;…;303;297;328;329;392;409;428;495;478;530;569;745;834;682;598;628;364;533;475;426;396;372;558;…;…;…;;;;;;;;;
Макаронные изделия;;507;…;…;…;405;506;564;466;291;426;466;510;890;1 331;1 315;1 314;1 422;1 415;1 421;1 377;1 215;1 098;1 147;1 200;1 189;1 221;1 498;…;…;…;;;;;;;;;
"Соль, пригодная для употребления 
в пищу";;…;…;…;…;…;…;20954;…;…;…;…;49,7;60,2;80,0;71,0;81,7;93,2;100;109;97,3;105;92,9;93,5;87,6;86,5;81,2;77,3;…;…;…;;;;;;;;;
Уголь каменный;;18,1;…;…;…;5,5;4,4;6,4;7,3;8,7;10,8;16,8;15,1;19,9;28,7;19,6;32,7;57,2;37,1;31,9;25,2;19,1;13,1;20,8;17,8;17,2;14,2;19,0;…;…;…;;;;;;;;;
Каучук синтетический;;2268;…;…;…;1383;1129;979;894;959;988;1098;1223;1441;1966;1768;2187;3 141;3 104;2 806;2 769;2 113;2 012;2 411;2 419;2 124;1 853;2 321;…;…;…;;;;;;;;;
Обувь кожаная, за пару  ;;8,3;…;…;…;13;12,7;14,8;11,3;12,0;14,5;14,9;15,5;15,3;16,0;16,9;22,6;23,8;24,1;25,1;26,4;23,9;28,3;30,0;29,1;27,3;26,9;28,0;…;…;…;;;;;;;;;
Трубы из черных металлов;;592;…;…;…;617;535;622;725;675;784;1033;1274;1581;1828;1529;1398;1 552;1 784;1 847;1 737;1 630;1 551;1 450;1 858;1 377;1 937;2 034;…;…;…;;;;;;;;;
Комбинированные холодильники-морозильники, за шт.;;397;…;…;…;…;…;…;238;255;271;262;296;354;417;337;341;383;362;378;339;273;265;275;266;262;242;288;…;…;…;;;;;;;;;
